Symbol,name,value,variable
gene1,sample1,99,A
gene1,sample2,131,A
gene1,sample3,74,A
gene1,sample4,145,A
gene1,sample5,102,A
gene1,sample6,166,B
gene1,sample7,113,B
gene1,sample8,92,B
gene1,sample9,205,B
gene1,sample10,199,B
gene2,sample1,2,A
gene2,sample2,10,A
gene2,sample3,13,A
gene2,sample4,6,A
gene2,sample5,0,A
gene2,sample6,26,B
gene2,sample7,2,B
gene2,sample8,10,B
gene2,sample9,1,B
gene2,sample10,3,B
gene3,sample1,56,A
gene3,sample2,82,A
gene3,sample3,48,A
gene3,sample4,37,A
gene3,sample5,44,A
gene3,sample6,43,B
gene3,sample7,62,B
gene3,sample8,49,B
gene3,sample9,41,B
gene3,sample10,101,B
gene4,sample1,107,A
gene4,sample2,78,A
gene4,sample3,23,A
gene4,sample4,58,A
gene4,sample5,33,A
gene4,sample6,60,B
gene4,sample7,79,B
gene4,sample8,62,B
gene4,sample9,22,B
gene4,sample10,50,B
gene5,sample1,1182,A
gene5,sample2,1582,A
gene5,sample3,1464,A
gene5,sample4,893,A
gene5,sample5,1109,A
gene5,sample6,886,B
gene5,sample7,817,B
gene5,sample8,1311,B
gene5,sample9,1418,B
gene5,sample10,857,B
gene6,sample1,53,A
gene6,sample2,27,A
gene6,sample3,16,A
gene6,sample4,43,A
gene6,sample5,30,A
gene6,sample6,18,B
gene6,sample7,28,B
gene6,sample8,59,B
gene6,sample9,55,B
gene6,sample10,61,B
gene7,sample1,62,A
gene7,sample2,48,A
gene7,sample3,69,A
gene7,sample4,63,A
gene7,sample5,97,A
gene7,sample6,122,B
gene7,sample7,87,B
gene7,sample8,63,B
gene7,sample9,50,B
gene7,sample10,59,B
gene8,sample1,43,A
gene8,sample2,38,A
gene8,sample3,15,A
gene8,sample4,27,A
gene8,sample5,89,A
gene8,sample6,31,B
gene8,sample7,29,B
gene8,sample8,45,B
gene8,sample9,51,B
gene8,sample10,27,B
gene9,sample1,2111,A
gene9,sample2,3348,A
gene9,sample3,1852,A
gene9,sample4,3493,A
gene9,sample5,2473,A
gene9,sample6,4696,B
gene9,sample7,1916,B
gene9,sample8,3093,B
gene9,sample9,5027,B
gene9,sample10,2975,B
gene10,sample1,567,A
gene10,sample2,726,A
gene10,sample3,879,A
gene10,sample4,422,A
gene10,sample5,348,A
gene10,sample6,641,B
gene10,sample7,685,B
gene10,sample8,338,B
gene10,sample9,602,B
gene10,sample10,661,B
gene11,sample1,103,A
gene11,sample2,81,A
gene11,sample3,134,A
gene11,sample4,43,A
gene11,sample5,143,A
gene11,sample6,151,B
gene11,sample7,111,B
gene11,sample8,123,B
gene11,sample9,29,B
gene11,sample10,123,B
gene12,sample1,85,A
gene12,sample2,28,A
gene12,sample3,67,A
gene12,sample4,21,A
gene12,sample5,101,A
gene12,sample6,96,B
gene12,sample7,68,B
gene12,sample8,73,B
gene12,sample9,46,B
gene12,sample10,69,B
gene13,sample1,37,A
gene13,sample2,77,A
gene13,sample3,77,A
gene13,sample4,59,A
gene13,sample5,64,A
gene13,sample6,149,B
gene13,sample7,61,B
gene13,sample8,25,B
gene13,sample9,51,B
gene13,sample10,39,B
gene14,sample1,391,A
gene14,sample2,425,A
gene14,sample3,307,A
gene14,sample4,313,A
gene14,sample5,319,A
gene14,sample6,471,B
gene14,sample7,232,B
gene14,sample8,307,B
gene14,sample9,414,B
gene14,sample10,499,B
gene15,sample1,1118,A
gene15,sample2,1014,A
gene15,sample3,1417,A
gene15,sample4,546,A
gene15,sample5,816,A
gene15,sample6,633,B
gene15,sample7,381,B
gene15,sample8,1046,B
gene15,sample9,623,B
gene15,sample10,1207,B
gene16,sample1,1721,A
gene16,sample2,626,A
gene16,sample3,1391,A
gene16,sample4,987,A
gene16,sample5,1968,A
gene16,sample6,1783,B
gene16,sample7,1588,B
gene16,sample8,1002,B
gene16,sample9,927,B
gene16,sample10,1848,B
gene17,sample1,244,A
gene17,sample2,336,A
gene17,sample3,604,A
gene17,sample4,301,A
gene17,sample5,430,A
gene17,sample6,393,B
gene17,sample7,366,B
gene17,sample8,195,B
gene17,sample9,135,B
gene17,sample10,391,B
gene18,sample1,117,A
gene18,sample2,161,A
gene18,sample3,296,A
gene18,sample4,212,A
gene18,sample5,250,A
gene18,sample6,204,B
gene18,sample7,173,B
gene18,sample8,141,B
gene18,sample9,139,B
gene18,sample10,218,B
gene19,sample1,4,A
gene19,sample2,13,A
gene19,sample3,2,A
gene19,sample4,3,A
gene19,sample5,14,A
gene19,sample6,24,B
gene19,sample7,10,B
gene19,sample8,2,B
gene19,sample9,4,B
gene19,sample10,11,B
gene20,sample1,460,A
gene20,sample2,410,A
gene20,sample3,304,A
gene20,sample4,393,A
gene20,sample5,328,A
gene20,sample6,334,B
gene20,sample7,529,B
gene20,sample8,389,B
gene20,sample9,608,B
gene20,sample10,469,B
gene21,sample1,0,A
gene21,sample2,0,A
gene21,sample3,0,A
gene21,sample4,26,A
gene21,sample5,1,A
gene21,sample6,0,B
gene21,sample7,2,B
gene21,sample8,0,B
gene21,sample9,2,B
gene21,sample10,0,B
gene22,sample1,5,A
